Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Club Manager 2015,2014,$9.99,44,/,sports,19332,22.306,8.222
Super Mega Baseball: Extra Innings,2015,$19.99,90,/,sports,18543,14.006,2.2640000000000002
Perfect Golf,2016,$34.99,66,/,sports,18543,54.252,2.15
Fast & Furious: Showdown,2013,$29.99,35,/,sports,18345,3.342,1.162
Age Of Gladiators,2016,$9.99,83,/,sports,18345,7.162,3.12
Pong Waves VR,2016,$9.99,94,/,sports,17754,2.144,0.34199999999999997
iRacing,2015,$9.99,84,79,sports,17556,48.306,0.09
LowcoBall,2015,$0.99,62,/,sports,17556,2.258,2.318
Karate Master 2 Knock Down Blow,2015,$9.99,81,/,sports,17162,3.258,2.282
Atari Vault,2016,$19.99,74,/,sports,16965,2.108,0.312
RIDE 2,2016,$49.99,85,78,sports,16373,22.252,16.096
MotoGP14,2014,$29.99,50,76,sports,16373,14.096,4.354
Ihf Handball Challenge 12,2014,$3.99,54,/,sports,16176,6.054,2.066
G-Ball,2014,$0.99,26,/,sports,16176,0.216,0.066
Sbastien Loeb Rally EVO,2016,$49.99,48,/,sports,15386,12.288,2.336
Pro Rugby Manager 2015,2014,$9.99,21,/,sports,15189,26.354,10.3
Cabelas Trophy Bucks,2008,$19.99,27,/,sports,15189,4.03,1.078
Russian Car Driver,2017,$0.99,88,/,sports,14795,1.234,0.258
Ice Lakes,2016,$14.99,89,/,sports,14597,6.186,2.156
The Thrill of the Fight,2016,$9.99,91,/,sports,14597,2.192,0.24599999999999997
3D Ultra Minigolf Adventures Deluxe,2009,$4.99,67,/,sports,14400,2.252,0.306
Don Bradman Cricket 14,2014,$39.99,94,/,sports,14203,78.228,57.336
Football Tactics,2015,$14.99,91,/,sports,14006,20.06,11.138
Racing Manager 2014,2013,$7.99,17,/,sports,14006,6.282,3.21
Soccer Rage,2015,$9.99,79,/,sports,13611,0.288,0.09
MX vs. ATV Supercross Encore,2015,$29.99,50,/,sports,13217,14.282,7.18
Tennis Elbow 2013,2015,$16.24,90,/,sports,12822,65.234,12.03
Formula Truck 2013,2015,$7.49,75,/,sports,12428,4.054,0.33
ClusterPuck 99,2015,$9.99,80,/,sports,11836,7.108,0.23399999999999999
Ragdoll Runners,2016,$4.99,90,/,sports,11441,6.018,1.216
Monster Jam,2015,$14.99,41,/,sports,11244,3.234,3.168
Chess 2: The Sequel,2014,$9.99,52,62,sports,11047,0.324,0.174
Foosball - Street Edition,2014,$4.99,69,/,sports,10849,0.324,0.312
Volo Airsport,2014,$12.99,72,/,sports,10455,1.084,0.144
NewRetroArcade: Neon,2016,$19.99,83,/,sports,10258,5.276,1.042
Dog Sled Saga,2016,$7.99,93,/,sports,10258,7.168,5.096
MUD - FIM Motocross World Championship,2013,$9.99,43,/,sports,10258,4.324,0.348
VRC PRO,2015,$44.99,81,/,sports,9863,22.342,3.06
BasketBelle,2014,$4.99,86,/,sports,9666,2.306,3.012
Pure Pool,2014,$12.99,53,68,sports,9469,12.228,1.048
Valentino Rossi The Game,2016,$49.99,75,72,sports,9271,25.006,14.156
Wild Animal Racing,2016,$3.99,88,/,sports,9271,2.006,0.264
Total Extreme Wrestling,2015,$6.79,76,/,sports,9271,74.03,5.066
FIM Speedway Grand Prix 15,2015,$24.99,89,68,sports,8877,16.12,8.06
