#,Game,Release date,Price,Userscore,Metascore,Owners,Average playtime,Median playtime
51,The Typing of The Dead: Overkill,"Oct 29, 2013",$19.99,88%,/,"278,479",3:08,1:32
32,The Cave,"Jan 23, 2013",$14.99,86%,68%,"272,223",5:12,2:39
66,SEGA Bass Fishing,"Mar 4, 2011",$7.99,81%,/,"264,640",1:19,0:16
52,Space Channel 5: Part 2,"Mar 4, 2011",$7.99,87%,/,"264,072",2:17,0:32
81,NiGHTS into Dreams...,"Dec 17, 2012",$7.99,89%,/,"257,437",1:26,0:18
45,SONIC THE HEDGEHOG 4 Episode I,"Jan 19, 2012",$9.99,53%,/,"244,735",5:12,0:43
35,Sonic and SEGA All Stars Racing,"Mar 3, 2010",$9.99,79%,65%,"225,589",5:28,1:00
40,SONIC THE HEDGEHOG 4 Episode II,"May 15, 2012",$9.99,81%,54%,"223,883",3:19,0:46
73,SHOGUN: Total Warâ„¢ - Gold Edition,"Jun 25, 2015",$9.99,87%,/,"173,646",11:05,1:07
47,Eastside Hockey Manager: Early Access,"Dec 1, 2015",$19.99,86%,/,"127,391",86:29,6:10
68,MEDIEVAL: Total Warâ„¢ - Gold Edition,"Jun 25, 2015",$9.99,67%,/,"126,443",20:19,2:23
70,Sonic Lost World,"Nov 2, 2015",$29.99,67%,/,"123,979",5:01,0:56
12,Motorsport Manager,"Nov 9, 2016",$34.99,91%,81%,"74,880",49:01,28:15
77,"Warhammer 40,000: Kill Team","May 22, 2014",$9.99,54%,/,"70,899",2:50,1:15
54,Endless SpaceÂ® 2,"Oct 6, 2016",$29.99,81%,/,"45,118",11:47,3:31
37,Space Siege,"Aug 14, 2008",$14.99,48%,60%,"41,705",4:54,1:40
53,Tembo: The Badass Elephant,"Jul 21, 2015",$14.99,77%,/,"32,037",2:13,0:51
33,The Club,"Feb 20, 2008",$14.99,49%,67%,"24,265",0:56,0:19
