#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median)
3,Empire: Total War,"Mar 3, 2009",$19.99,80% (91%/90%),"3,584,207",100:47 (22:09)
1,Company of Heroes,"Jul 17, 2007",$19.99,93% (95%/93%),"2,959,194",14:39 (02:17)
69,Total War: SHOGUN 2,"Mar 15, 2011",$29.99,83% (92%),"2,935,118",74:40 (23:01)
9,"Warhammer 40,000: Dawn of War II","Feb 18, 2009",$19.99,70% (88%/85%),"2,630,289",29:05 (10:57)
25,Total War: ROME II - Emperor Edition,"Sep 2, 2013",$59.95,43% (77%/76%),"2,470,292",123:40 (42:54)
5,Company of Heroes: Opposing Fronts,"Sep 24, 2007",$19.99,87% (93%/87%),"2,370,767",13:26 (01:03)
13,Napoleon: Total War,"Feb 23, 2010",$19.99,87% (93%/81%),"2,257,973",66:19 (13:37)
29,Company of Heroes: Tales of Valor,"Apr 8, 2009",$19.99,90% (94%/70%),"2,159,586",28:33 (02:53)
17,Company of Heroes 2,"Jun 25, 2013",$29.99,41% (76%/80%),"2,061,199",71:12 (12:39)
10,"Warhammer 40,000: Dawn of War II - Chaos Rising","Mar 10, 2010",$19.99,80% (91%/85%),"1,823,478",23:33 (07:40)
46,"Warhammer 40,000: Dawn of War II Retribution","Feb 28, 2011",$29.99,80% (91%),"1,822,340",40:42 (11:17)
4,Medieval II: Total War,"Nov 27, 2007",$19.99,93% (95%/88%),"1,794,663",57:40 (09:48)
2,Rome: Total War,"Aug 28, 2007",$9.99,90% (94%/92%),"1,635,803",38:35 (06:33)
36,Hell Yeah!,"Oct 3, 2012",$14.99,67% (87%/64%),"1,614,381",02:10 (00:33)
8,"Warhammer 40,000: Dawn of War - Game of the Year Edition","Aug 7, 2007",$12.99,87% (93%/86%),"1,606,609",05:14 (01:34)
55,Jet Set Radio,"Sep 19, 2012",$7.99,56% (83%),"1,604,145",01:35 (00:21)
27,"Warhammer 40,000 Space Marine","Sep 5, 2011",$29.99,83% (92%/74%),"1,143,109",16:11 (07:25)
16,Football Manager 2016,"Nov 12, 2015",$49.99,25% (66%/81%),"1,130,219",341:41 (156:09)
30,Aliens vs. Predator,"Feb 16, 2010",$14.99,73% (89%/68%),"1,113,916",12:32 (04:39)
7,Total War: WARHAMMER,"May 24, 2016",$59.99,28% (68%/86%),"1,061,405",73:57 (38:32)
79,Viking: Battle for Asgard,"Oct 17, 2012",$14.99,10% (50%),"1,044,722",02:42 (00:25)
24,Endless Space,"Jul 4, 2012",$5.24,56% (83%/77%),"1,043,964",29:28 (08:36)
49,"Warhammer 40,000: Dawn of War - Soulstorm","Mar 5, 2008",$12.99,90% (94%),"1,036,950",31:26 (08:34)
6,"Warhammer 40,000: Dawn of War - Dark Crusade","Aug 7, 2007",$12.99,93% (95%/87%),"1,032,590",19:38 (04:24)
63,"Warhammer 40,000: Dawn of War - Winter Assault","Aug 7, 2007",$12.99,73% (89%),"970,411",04:32 (00:53)
