#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median)
37,Brothers in Arms: Hell's Highway,"Oct 8, 2008",$9.99,77% (90%/79%),"113,174",07:11 (03:33)
58,Anno 2205,"Nov 2, 2015",$39.99,16% (58%/72%),"108,434",28:24 (16:13)
110,Might & Magic Heroes VII,"Sep 29, 2015",$49.99,6% (43%),"105,970",51:59 (18:43)
9,Brothers in Arms: Road to Hill 30,"May 13, 2008",$9.99,70% (88%/87%),"101,420",06:00 (02:35)
22,Dawn of Discovery,"Jun 23, 2009",$9.99,70% (88%/82%),"97,250",26:23 (08:31)
106,TrackMania Valley,"Jul 4, 2013",$19.99,52% (81%),"94,975",08:16 (01:13)
17,Brothers in Arms: Earned in Blood,"Oct 10, 2008",$9.99,73% (89%/84%),"92,321",05:28 (02:01)
80,Silent Hunter 5: Battle of the Atlantic,Mar 2010,$9.99,7% (44%/62%),"86,444",26:47 (06:14)
49,ShootMania Storm,"Apr 10, 2013",$19.99,70% (88%/76%),"80,947",37:29 (03:31)
69,Tom Clancy's EndWar,"Feb 25, 2009",$9.99,34% (72%/68%),"78,293",08:31 (01:51)
38,Silent Hunter: Wolves of the Pacific,"Jun 13, 2008",$9.99,28% (68%/79%),"77,155",16:48 (04:31)
63,Steep,"Dec 2, 2016",$59.99,45% (78%/71%),"72,985",11:24 (07:02)
77,ZOMBI,"Aug 18, 2015",$19.99,22% (64%/65%),"72,795",07:19 (03:00)
83,Tom Clancy's Rainbow Six: Lockdown,"May 13, 2008",$9.99,6% (42%/59%),"71,847",02:55 (00:36)
109,Silent Hunter: Wolves of the Pacific U-Boat Missions,"Jun 13, 2008",$9.99,43% (77%),"49,478",11:58 (02:16)
74,The Settlers: Rise of an Empire Gold Edition,"Oct 10, 2008",$19.99,37% (74%/66%),"45,497",20:13 (07:38)
65,Grow Up,"Aug 16, 2016",$9.99,77% (90%/71%),"43,032",04:30 (03:58)
122,TrackmaniaÂ® Turbo,"Mar 24, 2016",$39.99,19% (61%),"42,464",13:45 (06:46)
124,Flashback,"Oct 1, 2013",$9.99,18% (60%),"27,298",09:32 (02:35)
84,The Settlers: Heritage of Kings,"Jul 22, 2008",$9.99,62% (85%/58%),"26,161",09:32 (02:25)
70,Cloudberry Kingdom,"Aug 2, 2013",$9.99,80% (91%/67%),"25,023",04:46 (02:24)
91,Might and Magic: Heroes VII – Trial by Fire,"Aug 4, 2016",$29.99,8% (47%),"24,834",24:20 (11:30)
81,Driver: Parallel Lines,"Feb 13, 2009",$9.99,73% (89%/61%),"24,644",07:49 (02:03)
127,Babel Rising,"Aug 7, 2012",Free,8% (48%),"22,748",02:03 (00:47)
97,Assassinâ€™s CreedÂ® Chronicles: India,"Jan 12, 2016",$9.99,26% (67%),"22,369",03:50 (01:36)
108,Mad Riders,"May 30, 2012",$9.99,70% (88%),"21,611",02:02 (00:57)
89,Assassin's Creed Chronicles: Russia,"Feb 9, 2016",$9.99,28% (68%),"21,232",03:26 (01:00)
72,Cold Fear,"May 13, 2008",$9.99,67% (87%/66%),"18,578",02:52 (01:03)
85,Rayman: Raving Rabbids,"Jun 13, 2008",$9.99,39% (75%/58%),"16,113",04:37 (00:44)
112,Petz Horsez 2,"Jun 13, 2008",$9.99,28% (68%),"12,891",15:18 (04:25)
82,Toy Soldiers: War Chest,"Aug 12, 2015",$14.99,11% (51%/60%),"12,512",04:27 (02:37)
120,UNO,"Jan 3, 2017",$9.99,21% (63%),"10,237",02:38 (02:16)
98,Just Dance 2017,"Oct 27, 2016",$29.99,62% (85%),"8,720",06:00 (04:02)
107,TetrisÂ® Ultimate,"Dec 10, 2015",$14.99,3% (34%),"6,256",02:12 (01:11)
86,Trials of the Blood Dragon,"Jun 13, 2016",$14.99,22% (64%/54%),"5,877",03:52 (03:08)
71,Champions of Anteria™,"Aug 30, 2016",$29.99,11% (52%/67%),"5,498",06:56 (02:28)
50,Eagle Flight,"Dec 20, 2016",$39.99,39% (75%/75%),"5,308",01:58 (02:09)
114,Might & Magic ® Showdown,"Jan 19, 2017",$19.99,23% (65%),"3,376",02:55 (03:43)
