Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Grand Ages: Rome,2009,$9.99,75,72,simulation,207126,10.348,2.156
IL-2 Sturmovik: Cliffs of Dover,2011,$9.99,67,60,simulation,206140,27.336,2.096
GASP,2016,Free,18,/,simulation,205548,0.09,0.048
Breach & Clear,2014,$14.99,85,/,simulation,205153,5.09,2.042
Bloop,2015,$4.99,44,/,simulation,204561,0.20400000000000001,0.054
16bit Trader,2015,$0.5,36,/,simulation,202983,5.072,4.174
Offworld Trading Company,2016,$39.99,76,79,simulation,202786,9.216,4.354
Big Pharma,2015,$24.99,78,72,simulation,202786,9.018,4.0
From The Depths,2014,$19.99,89,/,simulation,202589,45.252,7.174
Hospital Tycoon,2009,$4.99,46,51,simulation,199235,3.102,0.348
Port Royale 3,2012,$14.99,68,/,simulation,197657,19.054,4.27
Blockland,2013,$9.99,74,/,simulation,196276,22.108,2.018
Rising Angels: Reborn,2014,Free,79,/,simulation,194698,1.15,0.054
Startopia,2013,$6.99,88,86,simulation,193317,3.108,0.174
The Odyssey,2015,$4.99,66,/,simulation,192923,4.162,3.186
Galactic Hitman,2015,$1.99,25,/,simulation,191345,3.234,3.108
Spacebase DF-9,2014,$9.99,21,49,simulation,189175,7.018,3.174
Depth Hunter 2: Deep Dive,2014,$14.99,72,/,simulation,186413,3.114,2.0
Urban Trial Freestyle,2013,$6.99,81,58,simulation,185230,2.276,1.1139999999999999
Stonehearth,2015,$24.99,87,/,simulation,183849,20.06,9.072
Ship Simulator Extremes,2010,$19.99,46,49,simulation,183257,19.162,3.024
Turmoil,2016,$9.99,89,73,simulation,180298,8.0,5.102
The Chosen RPG,2016,$1.99,69,/,simulation,178128,4.06,3.15
Ampu-Tea,2014,$4.99,64,/,simulation,176353,2.276,2.18
STAR WARS: X-Wing vs. TIE Fighter,2015,$9.99,70,/,simulation,175169,2.114,0.078
WWE 2K16,2016,$49.99,66,74,simulation,174183,34.108,12.18
Soccer Manager,2016,Free,62,/,simulation,171619,4.294,0.138
Train Fever,2014,$2.99,65,67,simulation,171027,62.294,10.174
DUNGEONS - The Dark Lord (Steam Special Edition),2011,$19.99,40,72,simulation,170238,2.2640000000000002,0.3
Sun Blast,2015,$1.99,63,/,simulation,170238,3.132,3.0
Unholy Heights,2013,$3.19,90,/,simulation,169251,4.204,2.084
Radiator 2,2016,Free,85,/,simulation,168857,0.21,0.066
realities,2016,Free,80,/,simulation,168068,0.12,0.06
Call to Arms,2016,Free,62,/,simulation,165898,10.192,3.072
theHunter: Primal,2015,$9.99,61,49,simulation,164714,15.144,3.216
Wind of Luck: Arena,2015,Free,56,/,simulation,164320,3.144,0.132
Merchants of Kaidan,2014,$1.49,68,/,simulation,163925,6.078,6.114
My Summer Car,2016,$14.99,90,/,simulation,162150,15.132,8.078
BigScreen,2016,Free,91,/,simulation,161953,2.294,0.132
Trainz Simulator 12,2011,$24.99,54,/,simulation,161755,28.222,1.18
Ragnarok Clicker,2016,Free,70,/,simulation,161361,58.234,2.282
Waltz of the Wizard,2016,Free,99,/,simulation,160769,1.21,0.198
One Manga Day,2015,Free,57,/,simulation,160769,0.258,0.054
Survivalist,2015,$4.99,81,/,simulation,160375,12.198,1.138
Incredipede,2013,$9.99,74,74,simulation,160177,1.018,0.156
LuckCatchers,2016,Free,54,/,simulation,159388,7.2459999999999996,0.06
Evolution RTS,2014,Free,46,/,simulation,158205,1.288,0.072
Pixel Puzzles 2: Anime,2015,$9.99,81,/,simulation,157021,6.156,3.204
Jet Racing Extreme,2015,$3.99,75,/,simulation,155838,3.324,1.198
Metaverse Construction Kit,2015,Free,68,/,simulation,155246,0.11399999999999999,0.036
Pixel Puzzles: UndeadZ,2014,$6.99,73,/,simulation,155246,6.012,4.216
Bridge Project,2013,$19.99,51,/,simulation,153273,2.198,1.03
Space Rangers HD: A War Apart,2013,$14.99,95,68,simulation,152681,50.258,9.03
Romance of the Three Kingdoms 13 / ä¸‰åœ‹å¿—13,2016,$59.99,61,/,simulation,152287,93.132,40.312
Wyatt Derp,2016,$0.99,27,/,simulation,152090,3.132,3.108
Trimmer Tycoon,2016,Free,62,/,simulation,151892,0.138,0.066
Written in the Sky,2015,Free,78,/,simulation,150314,0.27,0.096
Sins Of The Demon,2016,$1.99,86,/,simulation,149525,3.168,3.102
STAR WARS: X-Wing Special Edition,2015,$9.99,67,/,simulation,149131,2.276,0.09
Weapons Genius,2015,$4.99,53,/,simulation,148144,1.0,0.18
Make it indie!,2015,$0.99,41,/,simulation,147750,3.318,3.102
Lovers in a Dangerous Spacetime,2015,$14.99,95,80,simulation,147355,5.042,2.102
Rolling Sun,2015,$4.99,52,/,simulation,146961,3.2279999999999998,3.132
Creeper World 3: Arc Eternal,2014,$14.99,96,/,simulation,146566,27.216,10.222
CUPID - A free to play Visual Novel,2016,Free,87,/,simulation,145185,1.288,0.20400000000000001
TransOcean - The Shipping Company,2014,$19.99,68,/,simulation,145185,27.348,8.228
Battle Ranch,2015,$1.99,52,/,simulation,143805,4.318,3.168
Eastside Hockey Manager: Early Access,2015,$19.99,86,/,simulation,142424,133.288,8.288
Wings of Prey,2010,$9.99,72,78,simulation,140846,18.144,5.228
The Cubicle,2016,Free,87,/,simulation,140451,0.06,0.036
Data Hacker: Initiation,2014,$2.99,71,/,simulation,140057,3.174,0.22799999999999998
State of Decay: Year-One,2015,$29.99,70,/,simulation,138873,21.276,7.18
Survival: Postapocalypse Now,2015,$2.49,57,/,simulation,138873,7.258,2.03
SimplePlanes,2015,$12.99,92,67,simulation,138676,13.288,3.27
HunieCam Studio,2016,$6.99,80,/,simulation,138676,10.186,4.126
