Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
FINAL FANTASY XIV: A Realm Reborn,2014,$19.99,87,83,MMO,551349,198.168,33.006
Time of Dragons,2016,Free,69,/,MMO,542275,1.042,0.084
Kingdom Wars,2013,Free,67,/,MMO,540303,9.138,1.006
Piercing Blow,2015,Free,45,/,MMO,533201,7.288,0.222
Miscreated,2014,$19.99,70,/,MMO,519393,16.15,4.156
ROSE Online,2012,Free,69,/,MMO,510121,31.228,0.276
EverQuest Free-to-Play,2012,Free,72,/,MMO,494932,41.3,1.18
Ragnarok,2013,Free,79,79,MMO,483096,19.042,0.162
War of the Immortals,2012,Free,66,/,MMO,481913,23.198,1.18
Champions of Regnum,2013,Free,60,/,MMO,481913,12.336,0.24
Faeria,2016,Free,84,/,MMO,481321,11.3,2.072
Age of Conan: Unchained - EU version,2013,Free,71,/,MMO,464159,16.114,1.33
Forsaken World,2011,Free,71,69,MMO,462778,28.012,1.084
Dragomon Hunter,2015,Free,57,/,MMO,461003,4.03,0.276
Puzzle Pirates,2011,Free,81,/,MMO,459622,22.174,0.354
The Secret World,2012,$29.99,85,74,MMO,428060,48.132,11.24
Fiesta Online NA,2014,Free,54,/,MMO,422537,12.168,0.312
Strike.is: The Game,2016,Free,70,/,MMO,412082,1.144,0.096
Hooligan Fighters,2016,Free,56,/,MMO,399654,1.018,0.132
Devilian,2015,Free,59,63,MMO,398471,19.276,3.0
Audition Online,2015,Free,65,/,MMO,398076,7.156,0.144
Metal War Online: Retribution,,Free,55,/,MMO,395117,2.24,0.108
Dungeon Party,2013,Free,39,/,MMO,393934,0.12,0.054
VEGA Conflict,2015,Free,59,/,MMO,371051,66.096,0.354
The Four Kings Casino and Slots,2015,Free,71,/,MMO,367106,5.174,0.264
Governor of poker 3,2016,Free,73,/,MMO,356454,6.318,0.306
World of Soccer online,2015,Free,62,/,MMO,353100,1.216,0.072
Eldevin,2014,Free,77,/,MMO,349352,5.348,0.18
Karos,2014,Free,52,/,MMO,347380,3.156,0.006
AdventureQuest 3D,2016,Free,61,/,MMO,344618,3.258,0.144
City of Steam: Arkadia,2014,Free,60,/,MMO,343829,8.15,0.18
Atlantica,2012,Free,73,/,MMO,339292,71.282,1.036
The Crew,2014,$29.99,67,71,MMO,332979,44.318,22.294
Swordsman,2016,Free,52,/,MMO,332585,5.03,0.20400000000000001
Dungeon Fighter Online,2016,Free,83,78,MMO,329429,16.246,2.036
RPG MO,2015,Free,77,/,MMO,326667,9.114,0.066
My Lands,2014,Free,87,/,MMO,310492,38.252,0.096
Paradise Island - VR MMO,2015,$0.49,55,/,MMO,309900,5.222,5.324
Elite Dangerous: Arena,2016,$7.49,42,/,MMO,299050,1.3479999999999999,0.192
Prominence Poker,2016,Free,76,/,MMO,297078,4.042,0.348
Dragon Saga,2015,Free,70,65,MMO,277746,7.204,0.096
Dragon's Prophet (EU),2013,Free,72,63,MMO,274984,19.15,1.246
Hero Zero,2016,Free,72,/,MMO,271039,15.096,0.132
Shop Heroes,2016,Free,70,/,MMO,268672,41.078,1.084
The Slaughtering Grounds,2014,$0.99,35,/,MMO,266107,3.108,3.108
Uncharted Waters Online: Gran Atlas,2014,Free,65,/,MMO,264529,15.198,0.186
Uncrowded,2015,Free,27,/,MMO,263346,2.21,2.15
Might & Magic Heroes Online,2015,Free,38,/,MMO,262359,5.24,0.096
BattleStick,2016,Free,41,/,MMO,261768,0.22799999999999998,0.066
Requiem,2015,Free,60,/,MMO,259598,2.186,0.168
Forge of Gods (RPG),2016,Free,80,/,MMO,258611,18.078,0.336
Tactical Craft Online,2016,Free,50,/,MMO,257625,1.168,0.054
Heroes of Scene,2015,Free,51,/,MMO,253285,1.018,0.10200000000000001
Forsaken Uprising,2014,$2.99,30,/,MMO,242830,3.078,3.108
Cannons Lasers Rockets,2014,Free,24,/,MMO,239280,0.132,0.042
Kings Bounty: Legions,2013,Free,51,/,MMO,239082,12.186,0.22799999999999998
Deepworld,2015,Free,58,/,MMO,235926,1.306,0.192
Darkwind: War on Wheels,2014,Free,41,/,MMO,222315,1.186,0.036
TDP4:Team Battle,2015,Free,38,/,MMO,222315,1.204,0.09
HEX: Shards of Fate,2016,Free,70,87,MMO,220737,14.18,1.06
Angeldust,2016,Free,63,/,MMO,214030,0.354,0.10200000000000001
World of Fishing,2016,Free,54,/,MMO,213241,2.354,0.126
Metal Reaper Online,2015,Free,69,/,MMO,211466,2.33,0.12
StarBreak,2016,Free,77,/,MMO,209690,3.072,0.138
Dream Of Mirror Online,2015,Free,49,/,MMO,208704,17.0,0.078
Spellweaver,2016,Free,75,63,MMO,204167,11.102,0.24599999999999997
CABAL Online,2016,Free,60,/,MMO,200024,11.108,0.138
Aberoth,2015,Free,59,/,MMO,195093,6.18,0.06
Warside,2015,Free,64,/,MMO,177339,1.12,0.156
TDP5 Arena 3D,2015,Free,44,/,MMO,176353,0.174,0.072
Age of Cavemen,2016,Free,56,/,MMO,174775,4.228,0.144
Battle Battalions,2015,Free,56,/,MMO,174183,1.06,0.09
Star Crusade CCG,2016,Free,79,/,MMO,174183,6.276,0.312
Soccer Manager,2016,Free,62,/,MMO,171619,4.294,0.138
DRAGON BALL XENOVERSE 2,2016,$49.99,79,/,MMO,170632,38.024,27.0
LoveBeat,2016,Free,73,/,MMO,168660,10.318,0.21
Golden Rush,2015,Free,44,/,MMO,168265,18.132,0.156
Wind of Luck: Arena,2015,Free,56,/,MMO,164320,3.144,0.132
Emporea,2016,Free,61,/,MMO,163728,11.276,0.144
