Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
POSTAL 2,2012,$9.99,95,59,indie,1479470,6.312,2.204
Guns of Icarus Online,2012,$9.99,94,64,indie,1446528,9.108,3.294
Risk of Rain,2013,$9.99,94,77,indie,1441399,16.264,5.24
FEZ,2013,$9.99,92,91,indie,1438045,3.192,1.066
Audiosurf,2008,$9.99,96,85,indie,1435086,7.264,2.096
Super Monday Night Combat,2012,Free,68,76,indie,1431536,8.012,0.216
SNOW,2013,Free,71,/,indie,1429958,4.06,0.192
The Ship,2006,$9.99,87,76,indie,1369990,3.15,1.222
Monaco,2013,$14.99,91,83,indie,1357365,4.012,1.24
SpeedRunners,2016,$14.99,94,84,indie,1344740,10.078,4.012
AirMech,2012,Free,89,/,indie,1343556,8.09,1.24
The Ship Single Player,2006,Free,72,/,indie,1336652,1.288,0.312
Brothers - A Tale of Two Sons,2013,$2.99,95,90,indie,1311600,3.006,2.018
Viscera Cleanup Detail: Shadow Warrior,2013,Free,80,/,indie,1289506,0.33,0.108
Rogue Legacy,2013,$14.99,94,85,indie,1282405,15.132,7.288
Divinity: Original Sin - Enhanced Edition,2015,$39.99,90,94,indie,1263468,25.054,7.144
Divinity: Original Sin,2014,Free,91,87,indie,1263468,35.096,14.036
Subnautica,2014,$19.99,91,/,indie,1259523,18.228,8.036
Only If,2014,Free,64,39,indie,1248476,1.03,0.132
Braid,2009,$14.99,94,90,indie,1243150,3.216,1.252
Game Dev Tycoon,2013,$9.99,95,68,indie,1223818,13.354,7.216
Sanctum,2011,$9.99,90,70,indie,1213758,6.042,2.186
Sakura Clicker,2015,Free,84,/,indie,1211588,10.24,0.294
Dragons and Titans,2014,Free,78,43,indie,1203500,5.312,0.222
Guns and Robots,2014,Free,66,/,indie,1200541,2.084,0.132
To the Moon,2012,$7.49,97,81,indie,1187127,3.042,2.24
Broforce,2015,$14.99,97,83,indie,1172924,10.156,5.15
The Way of Life,2016,Free,76,/,indie,1164639,0.168,0.066
Dust: An Elysian Tail,2013,$14.99,96,/,indie,1155565,7.06,3.06
Transistor,2014,$19.99,95,83,indie,1151620,4.324,2.198
Serious Sam HD: The First Encounter,2009,$14.99,94,68,indie,1149450,5.012,2.162
Ace of Spades,2012,$14.99,67,/,indie,1124595,13.138,3.318
Everlasting Summer,2014,Free,95,/,indie,1116310,11.126,2.162
Spooky's House of Jump Scares,2015,Free,92,/,indie,1098556,1.228,0.168
Darkest Dungeon,2016,$24.99,87,84,indie,1093427,27.09,12.324
Plague Inc: Evolved,2016,$14.99,94,/,indie,1092441,11.018,5.336
Super Crate Box,2012,Free,90,/,indie,1085734,1.27,0.222
Contagion,2013,$9.99,74,62,indie,1074687,5.27,2.174
Mount & Blade,2008,$9.99,90,72,indie,1069953,19.0,2.348
Antichamber,2013,$19.99,95,82,indie,1066600,4.048,1.276
Tabletop Simulator,2015,$19.99,94,/,indie,1065219,14.252,4.306
World of Goo,2008,$9.99,94,90,indie,1054961,3.06,1.0
Infestation: Survivor Stories,,Free,43,/,indie,1031684,44.03,6.048
Deadlight,2012,$14.99,80,78,indie,1018073,3.114,2.096
SpaceChem,2011,$9.99,92,84,indie,1016889,4.294,1.024
Shadowrun Returns,2013,$14.99,89,76,indie,993021,14.204,7.084
BrainBread 2,2016,Free,65,/,indie,982566,1.33,0.198
Hero Siege,2014,$5.99,81,/,indie,979409,11.246,4.054
Legend of Grimrock,2012,$14.99,95,82,indie,977042,9.33,3.12
Defy Gravity,2016,$1.99,86,/,indie,968560,2.048,0.27
The Escapists,2015,$17.99,91,71,indie,942324,13.264,5.234
VVVVVV,2010,$4.99,96,81,indie,934434,2.12,0.276
Cubic Castles,2014,Free,71,/,indie,931869,6.3,0.20400000000000001
No Time To Explain Remastered,2015,$14.99,85,/,indie,926543,1.336,0.324
Floating Point,2014,Free,96,/,indie,912143,1.072,0.10200000000000001
Anomaly Warzone Earth,2011,$9.99,89,80,indie,905830,3.048,1.144
Time Clickers,2015,Free,89,/,indie,904055,41.312,1.174
Hammerwatch,2013,$9.99,90,72,indie,901688,6.276,2.348
The Long Dark,2014,$19.99,94,/,indie,900307,17.276,4.198
Relic Hunters Zero,2015,Free,94,/,indie,898926,2.21,0.252
Hotline Miami 2: Wrong Number,2015,$14.99,90,/,indie,898532,11.174,5.282
Super Hexagon,2012,$2.99,97,88,indie,898137,4.036,1.048
Five Nights at Freddy's,2014,$4.99,88,78,indie,897743,3.144,1.066
Iron Snout,2016,Free,98,/,indie,885315,2.102,0.21
Serious Sam 2,2012,$9.99,88,74,indie,882159,3.3,1.162
Reus,2013,$9.99,82,75,indie,872493,4.294,1.306
Pixel Puzzles Ultimate,2016,Free,62,/,indie,868745,15.246,0.096
8BitMMO,2015,Free,59,/,indie,867167,1.09,0.096
Thomas Was Alone,2012,$9.99,95,77,indie,866181,2.114,1.078
Skullgirls,2013,$9.99,94,83,indie,864800,10.06,3.066
Warhammer: End Times - Vermintide,2015,$29.99,79,79,indie,864011,20.096,8.036
Sins of a Solar Empire: Rebellion,2012,$11.24,94,82,indie,863024,48.114,10.282
DEFCON,2006,$9.99,88,84,indie,841720,2.348,0.222
Grim Dawn,2016,$24.99,93,83,indie,832843,56.06,19.288
Deponia,2012,$19.99,90,74,indie,832251,5.2459999999999996,3.27
Dear Esther,2012,$9.99,76,75,indie,829687,1.192,1.012
Race The Sun,2013,$9.99,94,79,indie,816470,2.312,1.174
The Incredible Adventures of Van Helsing,2013,$14.99,84,72,indie,815681,9.33,4.096
Golf With Friends,2016,$5.99,92,/,indie,811933,6.084,3.156
Teleglitch: Die More Edition,2013,$12.99,85,78,indie,810750,2.12,0.336
Guacamelee! Gold Edition,2013,$14.99,94,88,indie,806607,5.018,2.108
Gun Monkeys,2013,$5.99,55,/,indie,806213,1.174,0.312
Gunpoint,2013,$9.99,97,83,indie,804240,3.24,2.306
Spelunky,2013,$14.99,92,90,indie,803846,14.3,2.048
Little Inferno,2012,$9.99,93,68,indie,803451,4.276,3.168
BIT.TRIP RUNNER,2011,$9.99,87,/,indie,802465,2.198,1.102
