Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Take Thy Throne,2016,$1.99,64,/,strategy,29195,2.048,2.078
Pole Position 2012,2012,$5.99,11,/,strategy,29195,6.12,1.222
WazHack,2014,$9.99,88,/,strategy,28998,69.33,3.216
The Dweller,2016,$4.99,97,/,strategy,28800,2.324,2.288
The Big Elk,2016,$4.99,80,/,strategy,28800,3.21,3.096
There Came an Echo,2015,$14.99,75,58,strategy,28603,2.234,2.234
Evolution VR,2016,Free,91,/,strategy,28603,0.21,0.042
Envy the Dead,2016,$4.99,70,/,strategy,28603,3.09,3.102
OH! RPG!,2015,$2.99,64,/,strategy,28603,2.312,1.126
Panzer Tactics HD,2014,$9.99,71,69,strategy,28406,21.162,5.354
Genesis Rising,2007,$4.99,23,57,strategy,28406,2.024,0.186
Desert Ashes,2014,$4.99,57,/,strategy,28406,2.2279999999999998,2.222
Unium,2015,$1.99,97,/,strategy,28406,2.132,1.3479999999999999
FORCED 2: The Rush,2016,$19.99,87,/,strategy,28011,10.096,5.222
Ultimate General: Civil War,2016,$29.99,93,/,strategy,28011,32.048,13.24
Dungeons Of Kragmor,2016,$0.99,39,/,strategy,27814,0.252,0.03
Smugglers 5,2014,$9.99,59,/,strategy,27617,10.342,4.216
Big Brain Wolf,2009,$9.99,61,/,strategy,27420,2.15,0.3
TransOcean 2: Rivals,2016,$24.99,41,69,strategy,27222,21.072,7.312
World War I,2015,$4.99,79,/,strategy,27222,2.276,0.222
Contradiction - the all-video murder mystery adventure,2015,$9.99,97,/,strategy,27222,6.276,6.27
SweatShop,2016,$0.99,35,/,strategy,27222,4.012,3.048
Battlestation: Harbinger,2016,$9.99,81,/,strategy,27222,13.006,5.036
Marauder,2014,$9.99,64,/,strategy,26828,7.348,2.024
Habitat,2016,$14.99,55,/,strategy,26828,4.114,1.0
Archon:Classic,2010,$9.99,78,/,strategy,26828,4.234,1.282
Shadows of War,2015,$2.99,37,/,strategy,26828,2.192,1.294
Battlezone 98 Redux,2016,$19.99,92,75,strategy,26630,10.024,2.042
Supreme Ruler 1936,2014,$19.99,74,/,strategy,26630,35.072,10.078
Hunters Of The Dead,2014,$4.99,63,/,strategy,26630,2.198,2.114
Claustrophobia: The Downward Struggle,2014,$4.99,60,/,strategy,26433,1.186,1.006
City Life 2008,2008,$9.99,59,/,strategy,26433,8.168,2.204
Ironcast,2015,$14.99,82,75,strategy,26236,11.192,7.09
Airships: Conquer the Skies,2015,$9.99,97,/,strategy,26236,13.126,5.294
Dofus,2016,Free,71,72,strategy,26039,5.096,1.03
Infectonator : Survivors,2016,$11.99,69,/,strategy,26039,7.174,3.09
Babel Rising,2012,Free,48,/,strategy,25841,1.168,0.288
Toast Time,2014,$4.99,80,/,strategy,25841,1.168,0.21
Cosmochoria,2015,$9.99,90,/,strategy,25841,5.126,2.342
Pharaoh + Cleopatra,2016,$9.99,85,/,strategy,25841,9.318,1.186
Dead In Bermuda,2015,$14.99,81,/,strategy,25841,5.264,4.066
Mugen Souls,2015,$19.99,72,/,strategy,25841,7.096,2.2279999999999998
Out of Ammo,2016,$19.99,91,/,strategy,25841,2.102,1.204
Lethis - Path of Progress,2015,$19.99,76,65,strategy,25644,10.294,4.294
Age of Booty,2009,Free,34,/,strategy,25644,2.006,0.168
Graviteam Tactics: Operation Star,2014,$29.99,85,/,strategy,25447,14.258,1.102
Medieval Defenders,2016,Free,37,/,strategy,25447,2.198,0.264
12 Labours of Hercules V: Kids of Hellas,2016,$2.99,89,/,strategy,25447,7.012,5.054
Ember,2016,$9.99,80,70,strategy,25052,5.204,2.234
ROD: Revolt Of Defense,2016,$0.99,82,/,strategy,25052,1.3479999999999999,0.33
"Once Bitten, Twice Dead!",2015,$4.99,17,/,strategy,24855,3.288,4.012
Supreme Ruler Ultimate,2014,$29.99,75,/,strategy,24855,43.312,9.222
Urban Empire,2017,$39.99,52,/,strategy,24855,4.24,3.186
Battlepillars Gold Edition,2014,$4.99,88,/,strategy,24855,4.114,2.3
BC Kings,2009,$4.99,52,/,strategy,24855,3.2279999999999998,0.18
Hero Defense - Haunted Island,2016,$14.99,74,/,strategy,24658,9.066,3.06
Caves of Qud,2015,$9.99,97,/,strategy,24658,17.294,4.096
Spectromancer,2009,$9.99,91,/,strategy,24658,22.138,8.264
Close Combat - Gateway to Caen,2014,$39.99,66,/,strategy,24461,20.33,5.252
Into the Stars,2016,$19.99,51,61,strategy,24263,3.27,1.042
Planar Conquest,2016,$19.99,49,53,strategy,24263,15.288,4.072
Ascension to the Throne,2014,$2.99,85,/,strategy,24263,5.12,1.192
Might and Magic: Heroes VII – Trial by Fire,2016,$29.99,48,/,strategy,23869,29.156,11.198
Void Destroyer,2015,$12.99,70,/,strategy,23869,4.21,0.33
Microcosmum: survival of cells,2015,$7.99,70,/,strategy,23672,5.282,3.072
Defense Technica,2013,$14.99,39,63,strategy,23474,4.252,2.222
The Settlers: Heritage of Kings,2008,$9.99,85,58,strategy,23474,13.162,2.168
Reach for the Sun,2013,$4.99,69,/,strategy,23474,2.024,1.15
Starpoint Gemini Warlords,2016,$16.74,78,/,strategy,23474,11.354,2.108
Farm Frenzy 4,2014,$6.99,81,/,strategy,23277,10.18,2.156
Tomb of Tyrants,2015,$7.99,90,/,strategy,23080,3.276,2.33
Interstellaria,2015,$9.99,66,/,strategy,23080,6.168,3.024
Revelations 2012,2012,$2.49,56,/,strategy,22882,4.108,1.18
Dead Age,2016,$14.99,85,/,strategy,22882,4.228,1.3
Zotrix,2015,$12.99,65,/,strategy,22685,4.168,3.2640000000000002
Alteil: Horizons,2016,Free,44,/,strategy,22488,1.186,0.126
Ant War: Domination,2015,$2.99,55,/,strategy,22488,4.042,2.108
Dead Man's Draw,2014,$6.99,85,/,strategy,22291,7.228,3.294
Qvadriga,2014,$19.99,79,72,strategy,22093,8.342,4.2459999999999996
Zeus + Poseidon,2016,$9.99,95,/,strategy,22093,7.324,1.24
The Promised Land,2014,$6.99,84,/,strategy,22093,8.21,4.264
Sol 0: Mars Colonization,2016,$5.99,71,/,strategy,22093,13.018,4.072
Worms World Party Remastered,2015,$14.99,55,/,strategy,22093,4.186,1.24
"Warhammer 40,000: Deathwatch - Enhanced Edition",2015,$14.99,63,74,strategy,21699,17.072,7.324
Timber and Stone,2015,$12.99,60,/,strategy,21699,21.27,4.354
Khet 2.0,2014,$2.49,90,/,strategy,21699,2.192,1.294
The Oil Blue,2015,$4.99,70,/,strategy,21699,3.33,3.114
Niche - a genetics survival game,2016,$18.99,92,/,strategy,21502,9.204,3.3
Age of Fear 2,2015,$5.09,85,/,strategy,21502,4.24,3.33
Everyday Genius: SquareLogic,2009,$4.99,99,/,strategy,21304,52.354,7.072
King of Dragon Pass,2015,$11.99,78,/,strategy,21304,6.06,2.192
Lords of the Black Sun,2014,$29.99,21,/,strategy,21304,2.192,1.276
Hive,2014,$2.49,93,/,strategy,21107,5.21,2.078
Dwarf Tower,2014,$0.99,77,/,strategy,20910,1.198,0.276
7 Wonders: Ancient Alien Makeover,2012,$9.99,88,/,strategy,20910,10.288,5.348
Clockwork Empires,2016,$29.99,63,58,strategy,20713,18.222,6.126
Force of Nature,2016,$7.99,81,/,strategy,20713,9.252,4.228
Bad Rats Show,2016,$4.99,86,/,strategy,20713,2.258,1.354
Hegemony Gold: Wars of Ancient Greece,2012,$14.99,94,/,strategy,20713,49.222,6.03
US and THEM,2014,$9.99,30,/,strategy,20515,7.096,2.18
Waste Walkers,2015,$9.99,88,/,strategy,20515,3.156,2.348
Ascent - The Space Game,2016,$19.99,74,/,strategy,20515,28.324,19.114
Hegemony III: Clash of the Ancients,2015,$29.99,76,/,strategy,20515,46.132,8.006
Rush for Berlin: Gold Edition,2009,$4.99,87,76,strategy,20318,10.3,2.048
TransPlan,2015,$2.99,94,/,strategy,20318,2.204,2.09
TownCraft,2015,$9.99,49,/,strategy,20318,5.042,2.258
Project AURA,2015,$19.99,71,/,strategy,20318,8.234,2.276
Boogeyman,2015,$7.99,86,/,strategy,20318,2.162,0.27
Emergency 2016,2015,$19.99,43,/,strategy,20318,7.12,4.078
Parcel,2015,$4.99,92,/,strategy,20121,5.306,3.162
Heroes of Steel RPG,2014,$9.99,79,/,strategy,20121,4.0,1.228
Kaiju-A-GoGo,2015,$13.99,71,/,strategy,20121,8.036,4.204
Making History: The Great War,2015,$29.99,77,/,strategy,19924,16.342,4.282
Dungeon Warfare,2015,$9.99,98,/,strategy,19924,14.15,6.102
Survivor Squad: Gauntlets,2015,$4.99,84,/,strategy,19924,4.312,4.126
REDCON,2016,$5.99,67,/,strategy,19726,7.144,2.144
Blockscape,2014,$9.99,39,/,strategy,19726,6.27,1.138
Industry Empire,2014,$19.99,32,/,strategy,19726,19.024,3.156
